segment_id,start_intersection,end_intersection,segment_length_m,up_lanes_toward_seoul_station,down_lanes_toward_seongdong_high_school,speed_limit_kmh,start_signal_phase,end_signal_phase,avg_speed_kmh_up,avg_speed_kmh_down,travel_time_sec_up,travel_time_sec_down,avg_stop_time_sec_sumo,start_lat,start_lon,end_lat,end_lon,start_critical_intersection,end_critical_intersection,peak_hour_volume_up_veh_per_h,peak_hour_volume_down_veh_per_h
S1,신당역,성동글로벌경영고,356.9,3,3,50,4.0,,18.3,14.5,70.2,88.6,,37.565319,127.016594,37.564829,127.012585,★,,1076,1389
S2,성동글로벌경영고,한양공고앞,181.0,3,3,50,,2.0,19.2,15.7,33.9,41.5,,37.564829,127.012585,37.564852,127.010528,,,998,1256
S3,한양공고앞,토요코인호텔앞,129.2,3,3,50,2.0,2.0,19.2,16.5,24.2,28.2,,37.564852,127.010528,37.564375,127.009188,,,984,1177
S4,토요코인호텔앞,차로변화(127.0078),125.9,3,3,50,2.0,,18.3,16.5,24.8,27.5,,37.564375,127.009188,37.564099,127.0078,,,1025,1164
S5,차로변화(127.0078),광희사거리,40.1,2,3,50,,3.0,16.4,15.7,8.8,9.2,,37.564099,127.0078,37.564011,127.007358,,,1017,1217
S6,광희사거리,퇴계로5가,444.6,2,3,50,3.0,3.0,16.4,15.7,97.6,101.9,,37.564011,127.007358,37.563021,127.002462,,,995,1190
S7,퇴계로5가,차로변화(126.9986),342.2,2,3,50,3.0,,16.4,15.7,75.1,78.5,,37.563021,127.002462,37.56241,126.99865,,,959,1147
S8,차로변화(126.9986),퇴계로4가,45.2,3,2,50,,3.0,18.3,14.2,8.9,11.5,,37.56241,126.99865,37.562329,126.998147,,,941,1126
S9,퇴계로4가,충무로역(퇴계로3가),468.9,3,2,50,3.0,4.0,16.8,14.2,100.5,118.9,,37.562329,126.998147,37.5609,126.993133,,★,992,1098
S10,충무로역(퇴계로3가),차로변화(126.9907),214.5,2,3,50,4.0,,16.4,14.5,47.1,53.3,,37.5609,126.993133,37.561016,126.9907,★,,887,1146
S11,차로변화(126.9907),퇴계로2가,128.9,2,2,50,,2.0,17.3,14.2,26.8,32.7,,37.561016,126.9907,37.561086,126.989238,,,827,1042
S12,퇴계로2가,차로변화(126.9869),201.3,2,2,50,2.0,,16.4,14.9,44.2,48.6,,37.561086,126.989238,37.561062,126.98695,,,855,972
S13,차로변화(126.9869),명동역앞,64.0,3,3,50,,2.0,19.2,15.7,12.0,14.7,,37.561062,126.98695,37.561054,126.986223,,,801,1008
S14,명동역앞,데이즈호텔앞,202.3,3,3,50,2.0,2.0,19.2,16.5,37.9,44.1,,37.561054,126.986223,37.560611,126.983993,,,789,944
S15,데이즈호텔앞,회현사거리,163.1,3,3,50,2.0,4.0,16.8,16.5,34.9,35.6,,37.560611,126.983993,37.560753,126.982148,,★,879,925
S16,회현사거리,신세계백화점,220.6,3,3,50,4.0,3.0,18.3,14.5,43.4,54.8,,37.560753,126.982148,37.559606,126.9801,★,,797,1030
S17,신세계백화점,남대문시장,171.2,3,3,50,3.0,2.0,19.2,15.7,32.1,39.3,,37.559606,126.9801,37.558839,126.978412,,,743,935
S18,남대문시장,삼선빌딩,182.6,3,3,50,2.0,3.0,18.3,16.5,35.9,39.8,,37.558839,126.978412,37.557583,126.977072,,,769,874
S19,삼선빌딩,세브란스빌딩,277.8,3,3,50,3.0,3.0,18.3,15.7,54.6,63.7,,37.557583,126.977072,37.556492,126.974231,,,759,908
S20,세브란스빌딩,차로변화(126.9741),17.2,3,3,50,3.0,,18.3,15.7,3.4,3.9,,37.556492,126.974231,37.556433,126.97405,,,759,908
S21,차로변화(126.9741),서울스퀘어앞,82.1,3,2,50,,3.0,18.3,14.2,16.2,20.8,,37.556433,126.97405,37.556152,126.973187,,,759,908
S22,서울스퀘어앞,서울역R,120.2,3,2,50,3.0,4.0,16.8,14.2,25.8,30.5,,37.556152,126.973187,37.557032,126.97239,,★,820,908
