method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,delay_A,delay_N,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
Random Search,20260607,1,1,6,rs_r01_001_tl48_dt220_ge9_qr22_tau77,48,220,9,0.22,0.77,288.92,87.55,270.61,270.61,0.00,PASS,,recovery_detected,True,False,0,663,1,69,,,,,,,,,,,,,,,,
Random Search,20260607,1,2,6,rs_r01_002_tl30_dt8_ge26_qr51_tau79,30,8,26,0.51,0.79,170.92,83.30,162.95,162.95,0.00,PASS,,recovery_detected,True,False,0,3626,0,19,,,,,,,,,,,,,,,,
Random Search,20260607,1,3,6,rs_r01_003_tl91_dt34_ge11_qr77_tau83,91,34,11,0.77,0.83,113.92,73.61,110.26,110.26,0.00,PASS,,recovery_detected,True,False,0,1607,0,37,,,,,,,,,,,,,,,,
Random Search,20260607,1,4,6,rs_r01_004_tl118_dt71_ge29_qr60_tau90,118,71,29,0.6,0.9,179.92,78.88,170.73,110.26,0.00,PASS,,recovery_detected,True,False,0,743,0,31,,,,,,,,,,,,,,,,
Random Search,20260607,1,5,6,rs_r01_005_tl107_dt138_ge6_qr99_tau73,107,138,6,0.99,0.73,381.92,99.74,356.27,110.26,0.00,PASS,,recovery_detected,True,False,0,856,0,91,,,,,,,,,,,,,,,,
Random Search,20260607,1,6,6,rs_r01_006_tl84_dt237_ge7_qr73_tau88,84,237,7,0.73,0.88,377.92,92.01,351.93,110.26,0.00,PASS,,recovery_detected,True,False,0,839,0,87,,,,,,,,,,,,,,,,
Random Search,20260607,2,1,6,rs_r02_001_tl88_dt16_ge37_qr2_tau84,88,16,37,0.02,0.84,138.92,83.54,133.89,110.26,0.00,PASS,,recovery_detected,True,False,0,2561,1,18,,,,,,,,,,,,,,,,
Random Search,20260607,2,2,6,rs_r02_002_tl46_dt60_ge6_qr74_tau88,46,60,6,0.74,0.88,234.92,97.77,222.45,110.26,0.00,PASS,,recovery_detected,True,False,0,1016,0,68,,,,,,,,,,,,,,,,
Random Search,20260607,2,3,6,rs_r02_003_tl91_dt77_ge6_qr38_tau74,91,77,6,0.38,0.74,280.92,90.14,263.58,110.26,0.00,PASS,,recovery_detected,True,False,0,943,0,76,,,,,,,,,,,,,,,,
Random Search,20260607,2,4,6,rs_r02_004_tl48_dt166_ge41_qr69_tau70,48,166,41,0.69,0.7,241.92,77.60,226.98,110.26,0.00,PASS,,recovery_detected,True,False,0,238,0,32,,,,,,,,,,,,,,,,
