method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,1,1,6,bo_r01_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,362.92,138.42,342.51,342.51,0.00,PASS,,recovery_detected,True,False,0,267,0,40,,,,,,,,,,,,,,,,,,342.51,,,
BO,20260607,1,2,6,bo_r01_002_tl80_dt143_ge18_qr17_tau79,80,143,18,0.17,0.79,384.92,156.07,364.12,342.51,0.00,PASS,,recovery_detected,True,False,0,408,1,61,,,,,,,,,,,,,,,,,,364.12,,,
BO,20260607,1,3,6,bo_r01_003_tl56_dt74_ge28_qr32_tau74,56,74,28,0.32,0.74,184.92,110.96,178.20,178.20,0.00,PASS,,recovery_detected,True,False,0,639,0,32,,,,,,,,,,,,,,,,,,178.20,,,
BO,20260607,1,4,6,bo_r01_004_tl117_dt156_ge35_qr21_tau70,117,156,35,0.21,0.7,190.92,119.75,184.45,178.20,0.00,PASS,,recovery_detected,True,False,0,224,1,31,,,,,,,,,,,,,,,,,,184.45,,,
BO,20260607,1,5,6,bo_r01_005_tl43_dt211_ge31_qr66_tau75,43,211,31,0.66,0.75,325.92,128.74,307.99,178.20,0.00,PASS,,recovery_detected,True,False,0,315,0,41,,,,,,,,,,,,,,,,,,307.99,,,
BO,20260607,1,6,6,bo_r01_006_tl77_dt210_ge17_qr42_tau85,77,210,17,0.42,0.85,285.92,131.67,271.90,178.20,0.00,PASS,,recovery_detected,True,False,0,452,0,51,,,,,,,,,,,,,,,,,,271.90,,,
BO,20260607,2,1,6,bo_r02_001_tl120_dt59_ge19_qr20_tau87,120,59,19,0.2,0.87,195.92,112.22,188.31,178.20,0.00,PASS,,recovery_detected,True,False,0,720,1,41,274.86,133.60,416.13,,,,,,,,,,,,,,,188.31,,,
BO,20260607,2,2,6,bo_r02_002_tl49_dt122_ge12_qr53_tau77,49,122,12,0.53,0.77,301.92,153.69,288.44,178.20,0.00,PASS,,recovery_detected,True,False,0,612,0,65,274.86,133.60,416.13,,,,,,,,,,,,,,,288.44,,,
BO,20260607,2,3,6,bo_r02_003_tl88_dt70_ge3_qr0_tau77,88,70,3,0.0,0.77,327.92,137.69,310.63,178.20,0.00,PASS,,recovery_detected,True,False,0,1223,1,92,274.86,133.60,416.13,,,,,,,,,,,,,,,310.63,,,
BO,20260607,2,4,6,bo_r02_004_tl73_dt1_ge22_qr10_tau87,73,1,22,0.1,0.87,262.92,167.55,254.25,178.20,0.00,PASS,,recovery_detected,True,False,0,4600,1,18,274.86,133.60,416.13,,,,,,,,,,,,,,,254.25,,,
