method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,1,1,6,bo_r01_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,337.51,337.51,,,,,,,,,,,,,,,,
BO,20260607,1,2,6,bo_r01_002_tl80_dt143_ge18_qr17_tau79,80,143,18,0.17,0.79,357.63,337.51,,,,,,,,,,,,,,,,
BO,20260607,1,3,6,bo_r01_003_tl56_dt74_ge28_qr32_tau74,56,74,28,0.32,0.74,175.31,175.31,,,,,,,,,,,,,,,,
BO,20260607,1,4,6,bo_r01_004_tl117_dt156_ge35_qr21_tau70,117,156,35,0.21,0.7,181.92,175.31,,,,,,,,,,,,,,,,
BO,20260607,1,5,6,bo_r01_005_tl43_dt211_ge31_qr66_tau75,43,211,31,0.66,0.75,305.05,175.31,,,,,,,,,,,,,,,,
BO,20260607,1,6,6,bo_r01_006_tl77_dt210_ge17_qr42_tau85,77,210,17,0.42,0.85,267.82,175.31,,,,,,,,,,,,,,,,
BO,20260607,2,1,6,bo_r02_001_tl120_dt59_ge19_qr20_tau87,120,59,19,0.2,0.87,185.76,175.31,270.87,131.84,409.90,,,,,,,,,,,,,
BO,20260607,2,2,6,bo_r02_002_tl49_dt122_ge12_qr53_tau77,49,122,12,0.53,0.77,284.01,175.31,270.87,131.84,409.90,,,,,,,,,,,,,
BO,20260607,2,3,6,bo_r02_003_tl88_dt70_ge3_qr0_tau77,88,70,3,0.0,0.77,305.74,175.31,270.87,131.84,409.90,,,,,,,,,,,,,
BO,20260607,2,4,6,bo_r02_004_tl73_dt1_ge22_qr10_tau87,73,1,22,0.1,0.87,248.14,175.31,270.87,131.84,409.90,,,,,,,,,,,,,
BO,20260607,2,5,6,bo_r02_005_tl12_dt151_ge30_qr53_tau80,12,151,30,0.53,0.8,138.99,138.99,270.87,131.84,409.90,,,,,,,,,,,,,
BO,20260607,2,6,6,bo_r02_006_tl121_dt65_ge11_qr46_tau73,121,65,11,0.46,0.73,271.72,138.99,270.87,131.84,409.90,,,,,,,,,,,,,
BO,20260607,3,1,6,bo_r03_001_tl22_dt31_ge1_qr54_tau72,22,31,1,0.54,0.72,182.89,138.99,254.97,123.86,386.08,,,,,,,,,,,,,
BO,20260607,3,2,6,bo_r03_002_tl55_dt52_ge38_qr75_tau71,55,52,38,0.75,0.71,158.39,138.99,254.97,123.86,386.08,,,,,,,,,,,,,
BO,20260607,3,3,6,bo_r03_003_tl117_dt3_ge19_qr98_tau78,117,3,19,0.98,0.78,247.09,138.99,254.97,123.86,386.08,,,,,,,,,,,,,
BO,20260607,3,4,6,bo_r03_004_tl95_dt181_ge20_qr27_tau74,95,181,20,0.27,0.74,272.39,138.99,254.97,123.86,386.08,,,,,,,,,,,,,
BO,20260607,3,5,6,bo_r03_005_tl26_dt127_ge1_qr65_tau72,26,127,1,0.65,0.72,235.82,138.99,254.97,123.86,386.08,,,,,,,,,,,,,
BO,20260607,3,6,6,bo_r03_006_tl55_dt176_ge38_qr40_tau85,55,176,38,0.4,0.85,248.94,138.99,254.97,123.86,386.08,,,,,,,,,,,,,
BO,20260607,4,1,6,bo_r04_001_tl3_dt71_ge44_qr30_tau88,3,71,44,0.3,0.88,111.83,111.83,244.73,125.06,364.40,,,,,,,,,,,,,
BO,20260607,4,2,6,bo_r04_002_tl31_dt28_ge30_qr19_tau81,31,28,30,0.19,0.81,91.20,91.20,244.73,125.06,364.40,,,,,,,,,,,,,
BO,20260607,4,3,6,bo_r04_003_tl68_dt239_ge1_qr84_tau82,68,239,1,0.84,0.82,304.99,91.20,244.73,125.06,364.40,,,,,,,,,,,,,
BO,20260607,4,4,6,bo_r04_004_tl67_dt190_ge15_qr77_tau75,67,190,15,0.77,0.75,480.22,91.20,244.73,125.06,364.40,,,,,,,,,,,,,
BO,20260607,4,5,6,bo_r04_005_tl11_dt176_ge20_qr90_tau78,11,176,20,0.9,0.78,288.16,91.20,244.73,125.06,364.40,,,,,,,,,,,,,
BO,20260607,4,6,6,bo_r04_006_tl56_dt15_ge36_qr99_tau75,56,15,36,0.99,0.75,138.90,91.20,244.73,125.06,364.40,,,,,,,,,,,,,
BO,20260607,5,1,6,bo_r05_001_tl50_dt39_ge28_qr38_tau70,50,39,28,0.38,0.7,132.81,91.20,242.52,72.59,412.44,,,,,,,,,,,,,
BO,20260607,5,2,6,bo_r05_002_tl114_dt119_ge42_qr19_tau76,114,119,42,0.19,0.76,253.82,91.20,242.52,72.59,412.44,,,,,,,,,,,,,
BO,20260607,5,3,6,bo_r05_003_tl30_dt173_ge9_qr30_tau90,30,173,9,0.3,0.9,312.00,91.20,242.52,72.59,412.44,,,,,,,,,,,,,
BO,20260607,5,4,6,bo_r05_004_tl67_dt40_ge43_qr75_tau74,67,40,43,0.75,0.74,106.48,91.20,242.52,72.59,412.44,,,,,,,,,,,,,
BO,20260607,5,5,6,bo_r05_005_tl20_dt219_ge38_qr92_tau78,20,219,38,0.92,0.78,192.82,91.20,242.52,72.59,412.44,,,,,,,,,,,,,
BO,20260607,5,6,6,bo_r05_006_tl98_dt149_ge21_qr12_tau76,98,149,21,0.12,0.76,217.47,91.20,242.52,72.59,412.44,,,,,,,,,,,,,
BO,20260607,6,1,6,bo_r06_001_tl119_dt74_ge7_qr7_tau70,119,74,7,0.07,0.7,340.58,91.20,234.53,67.80,401.25,,,,,,,,,,,,,
