route_id,scenario_id,target_edge_id,shortest_route_edges,shortest_length_m,shortest_edge_count,major_route_edges,major_length_m,major_edge_count,major_tls_count,length_increase_pct,review_status,warnings
ER_ACC_001,ACC_001,-1099004169,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 913702834 -218923171#4 -1099004169,671.47,16,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 -218923171#5 -218923171#4 -1099004169,677.23,17,2,0.858,PASS,
ER_ACC_002,ACC_002,-176728951#4,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 383097714 1499619438#0 383097712#1 333972428#1 333972428#2 333972428#3 289213613#0 289213613#3 619342756 585341917 438360329#0 -176728951#4,3003.31,66,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 383097714 1499619438#0 383097712#1 333972428#1 333972428#2 333972428#3 289213613#0 289213613#3 619342756 585341917 438360329#0 -176728951#4,3003.31,66,8,0.0,PASS,
ER_ACC_003,ACC_003,-198564930,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 913702834 183272621 -1455518729#7 -1455518729#6 -1455518729#5 -1455518729#4 -1455518729#2 -1455518729#1 -1455518729#0 -1455518726 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 -198564928#16 -198564928#15 -198564928#14 -198564928#13 -198564928#12 -198564928#11 -198564928#10 -198564928#8 -198564928#7 -198564928#6 -198564928#5 1205679418#11 184083187#3 184083187#4 184083187#5 218974504#1 218974504#2 218974504#3 218974504#4 218974504#5 218923188#0 218923188#1 218923188#2 218923188#4 -198564930,2623.4,59,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 183272387#0 218923153 800229256#0 800229256#2 800229256#3 184083191#1 773066536#0 773066536#1 773066536#2 773066536#4 1455524953 218960897 1455524951#0 1455524951#2 1455524951#3 1455524951#6 1455524951#7 218769257 184083181#0 184083181#1 184083181#3 184083181#4 184083181#6 184083181#7 184083187#0 184083187#1 184083187#2 184083187#3 184083187#4 184083187#5 218974504#1 218974504#2 218974504#3 218974504#4 218974504#5 218923188#0 218923188#1 218923188#2 218923188#4 -198564930,2693.1,45,2,2.657,PASS,
ER_ACC_004,ACC_004,-198691090,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 198691061#0 198691061#1 198691061#2 -198691068 -198691090,2213.42,54,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 198691061#0 198691061#1 198691061#2 -198691068 -198691090,2213.42,54,5,0.0,PASS,
ER_ACC_005,ACC_005,-228795481#0,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 913702834 183272621 -1455518729#7 -1455518729#6 -1455518729#5 -1455518729#4 -1455518729#2 -1455518729#1 -1455518729#0 -1455518726 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 -198564928#16 -198564928#15 -198564928#14 -198564928#13 -198564928#12 -117914848#7 -381456441 -170403787#0 -170403779 219696192#9 824132484#0 824132486 184083187#0 -228795481#1 -228795481#0,1814.62,49,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 183272387#0 218923153 800229256#0 800229256#2 800229256#3 184083191#1 773066536#0 773066536#1 773066536#2 773066536#4 1455524953 218960897 1455524951#0 1455524951#2 1455524951#3 1455524951#6 1455524951#7 218769257 184083181#0 184083181#1 184083181#3 184083181#4 184083181#6 184083181#7 184083187#0 -228795481#1 -228795481#0,1847.83,32,1,1.83,PASS,
ER_ACC_006,ACC_006,-228796091#1,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 -228796091#4 -228796091#1,1687.24,39,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 -228796091#4 -228796091#1,1687.24,39,5,0.0,PASS,
ER_ACC_007,ACC_007,-272263606,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 -1455497346 237470575#0 237470575#1 237470575#3 237470575#4 -272263605#2 -272263606,1600.0,34,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 -1455497346 237470575#0 237470575#1 237470575#3 237470575#4 -272263605#2 -272263606,1600.0,34,3,0.0,PASS,
ER_ACC_008,ACC_008,-37928420#2,-381802881#2 -381802847#2 183272625#3 -420331815 -420331812#3 -420331812#2 381802858 381802844#3 381802844#5 381802844#6 381802848#2 420331810 420331806 -420319841#1 183272309#4 -117914345#4 381452111 -381452179#1 -381452179#0 -420187959#11 -420187959#8 -420187959#7 -420187959#5 -420187959#4 -420187959#3 -420187959#2 -420187959#0 -520307305#2 -37928420#2,1007.87,29,-381802881#2 -381802881#0 117770551#2 117770551#3 117770551#4 870977308#0 37399924#6 37399924#8 37399924#9 37399924#10 -183272309#13 -183272309#11 -183272309#9 -183272309#8 -183272309#7 -381452179#3 -381452179#1 -381452179#0 -420187959#11 -420187959#8 -420187959#7 -420187959#5 -420187959#4 -420187959#3 -420187959#2 -420187959#0 -520307305#2 -37928420#2,1137.27,28,0,12.839,PASS,
ER_ACC_009,ACC_009,-420383159#1,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 913702834 183272621 -1455518729#7 -1455518729#6 -1455518729#5 -1455518729#4 -1455518729#2 -1455518729#1 -1455518729#0 -1455518726 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 -198564928#16 -198564928#15 -198564928#14 -198564928#13 -198564928#12 -117914848#7 -117914848#6 -117914848#5 -117914848#4 -117914848#3 -420383159#2 -420383159#1,1632.22,46,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 -218923171#5 183272621 -1455518729#7 -1455518729#6 -1455518729#5 -1455518729#4 -1455518729#2 -1455518729#1 -1455518729#0 -1455518726 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 -198564928#16 -198564928#15 -198564928#14 -198564928#13 -198564928#12 -117914848#7 -117914848#6 -117914848#5 -117914848#4 -117914848#3 -420383159#2 -420383159#1,1637.98,47,4,0.353,PASS,
ER_ACC_010,ACC_010,117784418#0,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 913702834 183272621 -1455518729#7 -1455518729#6 -1455518729#5 -1455518729#4 -1455518729#2 -327035700#1 -327035700#0 591142225#0 -117784411#2 -117784421#2 117784415 420348553 -117784417#3 -117784417#2 -117784417#0 1456115804#1 117784418#0,1153.07,32,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 183272387#0 218923153 800229256#0 800229256#2 800229256#3 184083191#1 773066536#0 773066536#1 773066536#2 773066536#4 1455524953 -1455524945 -1455524946 117784416 1455524947#1 1455524947#2 -117784417#0 1456115804#1 117784418#0,1218.49,24,1,5.674,PASS,
