segment_id,direction,edge_id,edge_order,axis_position,matched_length_m,segment_length_m,match_ratio,current_lanes,target_lanes,lane_delta,repair_target,repair_reason
S1,upbound,-218684411#1,1,0.0,38.583784,356.9,0.108108,3,3,0,False,excluded_low_overlap
S1,upbound,-218684411#0,2,0.050807,57.875676,356.9,0.162162,3,3,0,False,excluded_low_overlap
S1,upbound,-174870621#10,3,0.136125,77.167568,356.9,0.216216,2,3,1,False,excluded_low_overlap
S1,upbound,-174870621#9,4,0.181966,77.167568,356.9,0.216216,2,3,1,False,excluded_low_overlap
S1,upbound,-174870621#8,5,0.305675,115.751351,356.9,0.324324,2,3,1,False,excluded_low_overlap
S1,upbound,-174870621#7,6,0.461176,77.167568,356.9,0.216216,2,3,1,False,excluded_low_overlap
S1,upbound,-174870621#6,7,0.520592,86.813514,356.9,0.243243,2,3,1,False,excluded_low_overlap
S1,upbound,-174870621#5,8,0.601784,67.521622,356.9,0.189189,2,3,1,False,excluded_low_overlap
S1,upbound,-381802847#2,9,0.649244,57.875676,356.9,0.162162,1,3,2,False,excluded_low_overlap
S1,upbound,-174870621#4,10,0.68256,106.105405,356.9,0.297297,2,3,1,False,excluded_low_overlap
S1,upbound,-381802847#1,11,0.838952,77.167568,356.9,0.216216,1,3,2,False,excluded_low_overlap
S1,upbound,-174870621#2,12,0.930256,86.813514,356.9,0.243243,2,3,1,False,excluded_low_overlap
S1,upbound,-174870621#0,13,1.0,9.645946,356.9,0.027027,2,3,1,False,excluded_low_overlap
S1,upbound,-381802847#0,14,1.0,57.875676,356.9,0.162162,1,3,2,False,excluded_low_overlap
S1,downbound,174870621#0,1,0.0,9.645946,356.9,0.027027,2,3,1,False,excluded_low_overlap
S1,downbound,381802847#0,2,0.0,48.22973,356.9,0.135135,1,3,2,False,excluded_low_overlap
S1,downbound,174870621#2,3,0.069355,96.459459,356.9,0.27027,2,3,1,False,excluded_low_overlap
S1,downbound,381802847#1,4,0.160576,77.167568,356.9,0.216216,1,3,2,False,excluded_low_overlap
S1,downbound,174870621#4,5,0.31753,115.751351,356.9,0.324324,2,3,1,False,excluded_low_overlap
S1,downbound,381802847#2,6,0.348813,48.22973,356.9,0.135135,1,3,2,False,excluded_low_overlap
S1,downbound,174870621#5,7,0.398196,67.521622,356.9,0.189189,2,3,1,False,excluded_low_overlap
S1,downbound,174870621#6,8,0.479233,86.813514,356.9,0.243243,2,3,1,False,excluded_low_overlap
S1,downbound,174870621#7,9,0.538415,77.167568,356.9,0.216216,2,3,1,False,excluded_low_overlap
S1,downbound,174870621#8,10,0.693803,125.397297,356.9,0.351351,2,3,1,True,dominant_mainline_overlap_lane_repair
S1,downbound,174870621#9,11,0.817844,77.167568,356.9,0.216216,2,3,1,False,excluded_low_overlap
S1,downbound,174870621#10,12,0.863608,86.813514,356.9,0.243243,2,3,1,False,excluded_low_overlap
S1,downbound,218684411#0,13,0.948887,57.875676,356.9,0.162162,2,3,1,False,excluded_low_overlap
S1,downbound,218684411#1,14,1.0,48.22973,356.9,0.135135,2,3,1,False,excluded_low_overlap
S1,downbound,218684411#2,15,1.0,9.645946,356.9,0.027027,2,3,1,False,excluded_low_overlap
